,Company,State,City,Started in,Founders,Industries,Number of employees,Funding,Funding rounds,Number of investors,Website
95, PagarBook,Karnataka,Bengaluru,2019,"Adarsh Kumar, Arya Gautam, Rupesh Mishra","Apps, Enterprise Software, Human Resources, Mobile Apps, SaaS, Software",101-250,"$17,000,000",2,"4 (Sequoia Capital, Surge, India Quotient, QED Innovation Labs)",https://pagarbook.com
96, Paytm Payments Bank,Delhi,New Delhi,2017,Vijay Shekhar Sharma,"Banking, FinTech, Mobile Payments",1001-5000,"$28,188,461",2,"2 (Paytm, Vijay Shekhar Sharma)",https://www.paytmbank.com
97, OkCredit,Haryana,Faridabad,2017,"Aditya Prasad, Gaurav Kumar, Harsh Pokharna","Finance, Financial Exchanges, Financial Services, FinTech, Personal Finance",101-250,"$84,200,000",3,"6 (Tiger Global Management, Y Combinator, Sinai Ventures, Venture Highway, Lightspeed India Partners)",https://www.okcredit.in/
98, Purplle,Maharashtra,Mumbai,2011,"Manish Taneja, Rahul Dash","Beauty, Cosmetics, E-Commerce, Mobile Apps, Retail, Shopping",101-250,"$93,649,358",10,"15 (Goldman Sachs, Sequoia Capital India, Blume Ventures, Mumbai Angels, The Chennai Angels)",https://www.purplle.com
99, MyMoneyMantra,Delhi,New Delhi,1989,Raj Khosla,"Consumer Lending, Finance, Financial Services, FinTech, Insurance, Lending, Marketplace, Personal Finance",1001-5000,"$15,000,000",1,"2 (Vaalon Capital, IFSD BV)",https://www.mymoneymantra.com
100, Blackbuck,Karnataka,Bengaluru,2015,"Chanakya Hridaya, Rajesh Yabaji, Ramasubramaniam B","Information Services, Internet, Logistics, Supply Chain Management, Transportation",1001-5000,"$296,995,198",8,"13 (Goldman Sachs, Sequoia Capital India, Tiger Global Management, B Capital Group, International Finance Corporation)",https://www.blackbuck.com
101, Wakefit,Karnataka,Bengaluru,2016,"Ankit Garg, Chaitanya Ramalingegowda","E-Commerce, Furniture, Manufacturing, Retail",251-500,"â¹2,500,000,000",2,"3 (Sequoia Capital India, Sequoia Capital, Verlinvest)",https://wakefit.co/
102, Freshtohome,Karnataka,Bengaluru,2015,Shan Kadavil,"E-Commerce, E-Commerce Platforms, Food and Beverage, Food Delivery, Online Portals",51-100,"$152,000,000",9,"23 (Investcorp, SGH CAPITAL, Mark Pincus, U.S. International Development Finance Corp, Abu Dhabi Investment Office (ADIO))",https://www.freshtohome.com
103, Housing.com,Haryana,Gurgaon,2012,"Abhimanyu Dhamija, Abhishek Anand, Advitiya Sharma, Amrit Raj, Neeraj Bhunwal, Rahul Yadav, Ravish Naresh, Rishabh Agrawal, Sanat Ghosh, Saurabh Goyal, Snehil Buxy, Vaibhav Tolia","Internet, Online Portals, Real Estate",1001-5000,"$147,830,000",8,"16 (SoftBank, Qualcomm Ventures, Nexus Venture Partners, Elara Technologies, SoftBank Capital)",https://www.housing.com
104, Doubtnut,Haryana,Gurgaon,2016,"Aditya Shankar, Tanushree Nagori","E-Learning, EdTech, Education, Image Recognition, STEM Education",11-50,"$49,939,813",5,"10 (Tencent, Sequoia Capital India, Akatsuki, Lupa Systems, Surge)",https://www.doubtnut.com/
105, smallcase,Karnataka,Bengaluru,2015,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath",Financial Services,101-250,"$22,000,000",3,"11 (Sequoia Capital India, Kunal Shah, BEENEXT, Blume Ventures, Arkam Ventures)",https://www.smallcase.com/
106, Instamojo,Karnataka,Bengaluru,2012,"Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","Business Development, E-Commerce, Financial Services, Payments",101-250,"$8,444,527",7,"14 (500 Startups, Kalaari Capital, BEENEXT, BASE, Blume Ventures)",https://instamojo.com
107, Zomato,Haryana,Gurgaon,2008,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Food Delivery, Mobile Apps, Reservations, Restaurants",10001+,"$2,100,568,357",21,"25 (Apple, Sequoia Capital India, Info Edge, Sequoia Capital, Temasek Holdings)",https://www.zomato.com
108, SUGAR Cosmetics,Maharashtra,Mumbai,2012,"Kaushik Mukherjee, Vineeta Singh","Beauty, Brand Marketing, Cosmetics, Internet, Online Portals, Retail",1001-5000,"$35,500,000",3,"6 (SAIF Partners, Stride Ventures, India Quotient, A91 Partners, RB Investments Pte. Ltd.)",https://in.sugarcosmetics.com
109, WinZO,Delhi,New Delhi,2018,"Chanchal Kurele, Paavan Nanda, Saumya Singh Rathore","Digital Entertainment, eSports, Gaming, Media and Entertainment, Online Games",51-100,"$45,500,000",5,"12 (Hike, Kalaari Capital, Makers Fund, Courtside Ventures, Stephen Pagliuca)",https://www.winzogames.com
110, Chingari,Karnataka,Bengaluru,2018,,"Social, Video",1-10,"$14,340,302",5,"18 (FJ Labs, Village Global, White Star Capital, Blume Ventures, Shrishti Sahu)",https://chingari.io/
111, Fisdom,Karnataka,Bengaluru,2015,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V.","Advice, Apps, Finance, Financial Services, FinTech",101-250,"$23,450,864",6,"7 (PayU Finance India, Quona Capital, Saama Capital, Aprameya Radhakrishna, Raghunandan G)",https://www.fisdom.com/
112, Digit Insurance,Karnataka,Bengaluru,2016,"Kamesh Goyal, Philip Varghese, Sriram Shankar, Vijay Kumar","Finance, Financial Services, Insurance, InsurTech",1001-5000,"$244,460,150",5,"4 (Fairfax Financial Holdings, A91 Partners, TVS Capital Funds, Faering Capital)",https://godigit.com/
113, Aye Finance,Haryana,Gurgaon,2014,"Sanjay Sharma, Vikram Jetley","Finance, Financial Services, FinTech, Small and Medium Businesses",501-1000,"$261,193,454",23,"23 (Northern Arc, Falcon Edge Capital, Hinduja Leyland Finance, responsAbility, MicroVest)",https://www.ayefin.com/
114, Rivigo,Haryana,Gurgaon,2014,"Deepak Garg, Gazal Kalra","Automotive, Freight Service, Logistics, Shipping, Software, Transportation",1001-5000,"$268,701,257",11,"6 (Warburg Pincus, InnoVen Capital, SAIF Partners, Trifecta Capital Advisors, Trifecta Capital)",https://rivigo.com
115, Pepper Content,Maharashtra,Mumbai,2017,"Anirudh Singla, Rishabh Shekhar","Content, Content Marketing, Media and Entertainment",11-50,"$4,506,066",2,"19 (YourStory, Titan Capital, Gaurav Munjal, Lightspeed India Partners, Alok Mittal)",https://www.peppercontent.in/
116, Get My Parking,Delhi,New Delhi,2015,"Chirag Jain, Rasik Pansare","Automotive, Internet, Parking, Software",51-100,"$10,392,793",5,"8 (BEENEXT, Indian Angel Network, IndusAge Partners, The Chennai Angels, IvyCap Ventures)",https://www.getmyparking.com/
117, FabAlley,Uttar Pradesh,Noida,2012,"Shivani Poddar, Tanvi Malik","E-Commerce, Fashion, Lifestyle, Women's",101-250,"$18,658,274",8,"18 (Indian Angel Network, SAIF Partners, India Quotient, Elevation Capital, Orios Venture Partners)",https://www.faballey.com
118, FarMart,Haryana,Gurgaon,2015,"Alekh Sanghera, Lokesh Singh, Mehtab Singh Hans","Agriculture, Apps, Farming, Mobile, SaaS",11-50,"$3,280,204",4,"6 (500 Startups, LetsVenture, Indian Angel Network, Omidyar Network India, Catalyst Fund)",https://www.farmart.co/
119, mfine,Karnataka,Bengaluru,2017,"Ajit Narayanan, Arjun Choudhary, Ashutosh Lawania, Prasad Kompalli","Apps, Artificial Intelligence, Health Care, Hospital, Medical",251-500,"$48,785,217",6,"11 (SBI Investment, BEENEXT, Stellaris Venture Partners, Alteria Capital, Prime Venture Partners)",https://www.mfine.co/
120, Medlife,Karnataka,Bengaluru,2014,"Ananth Narayanan, Prashanth Singh, Tushar Kumar","Information Technology, Retail",1001-5000,"$56,506,662",4,"3 (Samena Capital, Prasid Uno Family Trust, Wilson Global Opportunities Fund)",https://www.medlife.com/
121, Lendingkart,Gujarat,Ahmedabad,2014,"Harshvardhan Lunia, Mukul Sachan","Finance, Financial Services, FinTech, Lending, Micro Lending",501-1000,"$257,504,119",12,"15 (Yes Bank, Mayfield Fund, Alteria Capital, India Quotient, FMO)",https://www.lendingkart.com
122, Chqbook,Delhi,Delhi,2017,"Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Finance, Financial Services, FinTech",101-250,"$6,000,000",3,"8 (Aavishkaar Venture Capital, InnoVen Capital, YWC Venture Capital, Kishore Ganji, Sachin Arora)",https://chqbook.com
123, Turtlemint,Maharashtra,Mumbai,2015,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Financial Services, Health Insurance, Insurance, InsurTech",251-500,"$77,000,000",5,"10 (Sequoia Capital India, GGV Capital, Nexus Venture Partners, Blume Ventures, Jungle Ventures)",https://www.turtlemint.com/
124, Ecom Express,Delhi,New Delhi,2012,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan","Delivery, E-Commerce, Logistics",10001+,"$485,392,829",6,"4 (Partners Group, Warburg Pincus, CDC Group, Peepul Capital LLC)",https://www.ecomexpress.in/
125, BharatPe,Delhi,New Delhi,2018,"Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani","Apps, Financial Services, FinTech, Payments, QR Codes",251-500,"$290,345,855",7,"17 (Sequoia Capital India, Ribbit Capital, Sequoia Capital, Venture Catalysts, ICICI Bank)",https://bharatpe.com/
126, Vymo,Karnataka,Bengaluru,2013,"Venkat Malladi, Yamini Bhat","Analytics, Apps, CRM, Mobile, Productivity Tools, SaaS, Sales Automation",51-100,"$23,000,000",5,"5 (Sequoia Capital India, Emergence, InnoVen Capital, Plug and Play Tech Center, Microsoft Accelerator Bangalore)",https://www.getvymo.com
127, Shiprocket,Delhi,New Delhi,2017,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","E-Commerce, Logistics, Shipping, Supply Chain Management",251-500,"$53,350,000",6,"12 (500 Startups, Gaingels, March Capital, Tribe Capital, BEENEXT)",https://www.shiprocket.in
128, LeadSquared,Karnataka,Bengaluru,2011,Nilesh Patel,"CRM, SaaS, Software",101-250,"$35,000,000",2,"3 (Gaja Capital, Jyoti Bansal, Stakeboat Capital)",https://www.leadsquared.com
129, FamPay,Karnataka,Bengaluru,2019,"Kush Taneja, Sambhav Jain","Financial Services, Lifestyle, Payments",51-100,"$42,850,000",3,"17 (General Catalyst, Sequoia Capital India, Kunal Shah, Greenoaks Capital, Y Combinator)",https://fampay.in/
130, Quikr,Karnataka,Bengaluru,2008,"Jiby Thomas, Pranay Chulet","Classifieds, E-Commerce, Internet, Marketplace, Rental Property",1001-5000,"$424,214,622",12,"15 (Norwest Venture Partners, Tiger Global Management, Matrix Partners, eBay, Coatue)",https://www.quikr.com
131, Quizizz,Karnataka,Bengaluru,2015,"Ankit Gupta, Deepak Joy Cheenath","E-Learning, Education, Gamification, Skill Assessment, Software, Training",11-50,"$15,504,114",3,"6 (GSV Ventures, Nexus Venture Partners, rocketship.vc, Prime Venture Partners, GSF)",https://quizizz.com/
132, Stanza Living,Delhi,New Delhi,2017,"Anindya Dutta, Sandeep Dalmia","Home Services, Hospitality, Information Technology, Real Estate, Rental Property",251-500,"$172,175,325",6,"12 (Sequoia Capital India, Sequoia Capital, Accel, Matrix Partners, Falcon Edge Capital)",https://stanzaliving.com/
133, Pristyn Care,Haryana,Gurgaon,2018,Harsimarbir (Harsh) Singh,"Health Care, Hospital, Internet",501-1000,"$81,000,000",4,"5 (Sequoia Capital India, Tiger Global Management, Hummingbird Ventures, Redwood Trust, Epiq Capital)",http://www.pristyncare.com/
134, Polygon (Previously Matic Network,Maharashtra,Mumbai,2017,,Blockchain,11-50,"$450,000",3,"4 (Mark Cuban, ZBS CAPITAL, Coinbase Ventures, MiH Ventures)",https://matic.network/
135, Bobble AI,Haryana,Haryana,2015,"Ankit Prasad, Mohd Wassem, Rahul Prasad","Artificial Intelligence, Machine Learning, Messaging, Natural Language Processing, Text Analytics",51-100,"$13,275,213",5,"3 (Xiaomi, Affle, SAIF Partners)",https://bobble.ai
136, Cell Propulsion,Karnataka,Bengaluru,2016,"Nakul Kukar, Paras Kaushal","Automotive, Electric Vehicle",11-50,"$4,074,000",6,"6 (Endiya Partners, Huddle, growX ventures, CIIE.CO, Micello)",http://www.cellpropulsion.com
137, DukaanÂ®,Karnataka,Bengaluru,2019,"Kaustub Pandey, Subhash Choudhary, Suumit Shah",DIY,11-50,"$6,000,000",1,"9 (Kunal Shah, Lightspeed India Partners, Matrix Partners India, Haresh Chawla, Jitendra Gupta)",https://mydukaan.io/
138, Play Shifu,Karnataka,Bengaluru,2016,"Dinesh Advani, Vivek Goyal","Augmented Reality, Education, Media and Entertainment, STEM Education, Toys",51-100,"$28,438,340",5,"10 (Trifecta Capital Advisors, Chiratae Ventures, Chiratae Ventures, Survam Partners, Inflexor Ventures)",https://www.playshifu.com/
139, Lava International Limited,Uttar Pradesh,Noida,2009,"Shailendra Nath Rai, Sunil Bhalla, Vishal Sehgal","Consumer Electronics, Mobile, Telecommunications",501-1000,"$90,000,000",1,1 (The Global Emerging Markets Group),https://www.lavamobiles.com/
140, Vivriti Capital,Tamil Nadu,Chennai,2017,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Analytics, Banking, Crowdfunding, Financial Services, FinTech, Insurance, Marketplace",101-250,"$107,701,572",4,"2 (Aspada, Creation Investments Capital Management, LLC)",https://www.vivriticapital.com/
141, DocsApp,Karnataka,Bengaluru,2015,"Enbasekar Dinadayalane, Satish Kannan","Health Care, Medical, Mobile Apps, Wellness",1001-5000,"$27,575,748",5,"11 (Bessemer Venture Partners, InnoVen Capital, JAFCO Asia, Rebright Partners, Milliways Ventures)",https://www.docsapp.in
142, Furlenco,Karnataka,Bengaluru,2012,Ajith Karimpana,"Consumer, Furniture, Home Decor, Home Improvement, Rental, Subscription Service",251-500,"$68,955,715",16,"21 (Axis Bank, BlackSoil, InnoVen Capital, HDFC Bank, IntelleGrow)",https://www.furlenco.com
143, Swiggy,Karnataka,Bengaluru,2014,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Delivery Service, E-Commerce Platforms, Restaurants",10001+,"$2,428,380,000",14,"23 (Goldman Sachs, Tencent, Bessemer Venture Partners, Meituan, DST Global)",https://www.swiggy.com
144, Bombay Shaving Company,Delhi,New Delhi,2015,"Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Consumer Goods, E-Commerce, Lifestyle, Men's",1-10,"$17,696,569",6,"16 (Colgate Palmolive, Fireside Ventures, McKinsey & Company, Reckitt, Sixth Sense Ventures)",https://www.bombayshavingcompany.com/
145, Treebo Hotels,Karnataka,Bengaluru,2015,"Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Hospitality, Hotel, Internet",501-1000,"$69,174,397",9,"16 (InnoVen Capital, SAIF Partners, Matrix Partners India, Vijay Shekhar Sharma, Ward Ferry Management)",https://www.treebo.com
146, Betterhalf,Karnataka,Bengaluru,2016,"Pawan Gupta, Rahul Namdev","Artificial Intelligence, Consumer Applications, Dating",11-50,"$4,600,000",3,"10 (Kunal Shah, Y Combinator, Quiet Capital, Nate Matherson, S2 Capital)",https://betterhalf.ai/
147, JioSaavn,Maharashtra,Mumbai,2007,"Anjali Naik, Anurag Gupta, Paramdeep Singh, Rishi Malhotra, Vinodh Bhat","Internet, Mobile, Music, Music Streaming, Video Streaming",101-250,"$131,591,747",7,"13 (Reliance Industries, Tiger Global Management, Eniac Ventures, Bertelsmann, Mousse Partners)",https://www.jiosaavn.com/corporate
148, nearbuy,Delhi,New Delhi,2011,Ankur Warikoo,"Apps, E-Commerce, Internet, Restaurants, Travel",501-1000,"$37,237,275",3,"2 (Sequoia Capital India, BlackSoil)",https://www.nearbuy.com/
149, Indifi Technologies,Haryana,Gurgaon,2015,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi","Credit, Financial Services, FinTech, Lending",101-250,"$35,826,551",5,"15 (Flourish Ventures, IndusInd Bank, Accel, CDC Group, Omidyar Network)",https://www.indifi.com/
150, Portea Medical,Karnataka,Bengaluru,2013,"Ganesh Krishnan, Karan Aneja, Manjusha Anumolu, Meena Ganesh, Zachary Jones","Health Care, Home Health Care, Hospital, Medical",1001-5000,"$76,066,894",6,"10 (International Finance Corporation, Qualcomm Ventures, Accel, Manipal Group, InnoVen Capital)",https://www.portea.com
151, Stashfin,Delhi,New Delhi,2016,Tushar Aggarwal,"Apps, Banking, Finance, Financial Services, FinTech",51-100,"$75,000,000",3,"14 (Saison Capital, Altara Ventures, Uncorrelated Ventures, Alto Partners Multi-Family Office, Fullerton Financial Holdings)",https://www.stashfin.com
152, Square Yards,Haryana,Gurgaon,2014,"Kanika Gupta, Tanuj Shori","Market Research, Real Estate",5001-10000,"$73,000,000",6,"11 (Singtel, Boon Hwee Koh, Bennett Coleman and Co Ltd, Alto Partners Multi-Family Office, Lohia Group)",https://www.squareyards.com
153, HealthifyMe,Karnataka,Bengaluru,2012,"Mathew Cherian, Sachin Shenoy, Tushar Vashisht","Apps, Fitness, Health Care, mHealth",101-250,"$25,000,000",7,"17 (InnoVen Capital, Blume Ventures, Samsung NEXT, Dream Incubator, Chiratae Ventures)",https://www.healthifyme.com
154, QuickSell,Maharashtra,Mumbai,2017,Deepak Bhagchandani,Software,11-50,"$2,225,000",2,"6 (BEENEXT, Info Edge ventures, Vik Ghai, Ajay Jain, Shailendra Sharma)",https://www.quicksell.co
155, Perpule,Karnataka,Bengaluru,2016,"Abhinav Pathak, Saketh BSV, Yogesh Ghaturle","Apps, Billing, Enterprise Software, Mobile Payments, Point of Sale, Retail Technology, SaaS, Shopping, Software",101-250,"$6,361,203",3,"5 (Kalaari Capital, Venture Highway, Prime Venture Partners, Kstart, Raghunandan G)",https://www.perpule.com
156, Avishkaar,Delhi,Delhi,2014,"Rajeev Gaba, Tarun Bhalla","EdTech, Education",51-100,"â¹100,000,000",2,"4 (Mumbai Angels, Alok Mittal, Auxano, Varun Aggarwal)",https://www.avishkaar.cc
157, ReNew Power,Haryana,Gurgaon,2011,Sumant Sinha,"Clean Energy, Energy, Renewable Energy, Solar, Wind Energy",101-250,"$2,776,179,257",12,"9 (Goldman Sachs, Yes Bank, Canada Pension Plan Investment Board, Abu Dhabi Investment Authority, OPIC - Overseas Private Investment Corporation)",https://www.renewpower.in
158, Hike,Delhi,New Delhi,2012,Kavin Bharti Mittal,"Apps, Messaging, Mobile, Online Portals, Social Network",251-500,"$261,000,000",5,"10 (SoftBank, Tencent, Tiger Global Management, Foxconn Technology Group, Matt Mullenweg)",https://hike.in/
159, HealthPlix,Karnataka,Bengaluru,2014,"Raghuraj Sunder Raju, Sandeep Gudibanda","Artificial Intelligence, Health Care, Wellness",101-250,"$22,523,899",3,"4 (Lightspeed Venture Partners, Kalaari Capital, Chiratae Ventures, JSW Ventures)",https://healthplix.com/
160, Mswipe Technologies,Maharashtra,Mumbai,2011,Manish Patel,"Financial Services, Payments",5001-10000,"$97,467,607",9,"14 (Ola, B Capital Group, Axis Bank, Matrix Partners, Falcon Edge Capital)",https://www.mswipe.com
161, Virohan,Haryana,Gurgaon,2018,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja","Continuing Education, Corporate Training, EdTech, Health Care, Higher Education, Vocational Education",101-250,"$3,450,000",6,"9 (AngelList, Keiretsu Forum, Rianta Capital, Rebright Partners, Yunus Social Business)",https://www.virohan.com
162, BimaPe,Maharashtra,Mumbai,2020,Rahul Mathur,"Consumer Applications, FinTech, InsurTech",1-10,"$545,000",2,"5 (Y Combinator, Titan Capital, Lightspeed India Partners, Gemba Capital, iSeed)",https://bimape.com
163, Netmeds,Tamil Nadu,Chennai,2010,Pradeep Dadha,"E-Commerce, Health Care, Pharmaceutical",501-1000,"$99,000,000",3,"4 (OrbiMed, Sistema Asia Capital, Daun Penh Cambodia Group, Tanncam Investment)",https://www.netmeds.com/
164, XYXX Apparels,Gujarat,Surat,2017,Yogesh Kabra,"Gaming, Sports",51-100,"$4,923,799",3,"3 (DSG Consumer Partners, Sauce.vc, Synergy Capital Partners)",https://www.xyxxcrew.com/
165, One,Uttar Pradesh,Noida,2000,Vijay Shekhar Sharma,"Finance, FinTech, Internet, Mobile Advertising, Mobile Payments, Software",1001-5000,"$4,432,652,051",13,"15 (SoftBank, SoftBank Vision Fund, Alibaba Group, Berkshire Hathaway, Intel Capital)",https://one97.com/
166, BookMyShow,Maharashtra,Mumbai,1999,"Ashish Hemrajani, Parikshit Dar, Rajesh Balpande","Digital Entertainment, E-Commerce, Event Management, Events, Internet, Media and Entertainment, Online Auctions, Social Media, Sports",501-1000,"$224,500,000",6,"6 (Accel, Stripes, SAIF Partners, Network18, TPG Growth)",https://www.bookmyshow.com
167, Embibe,Maharashtra,Mumbai,2012,Aditi Avasthi,"Content Creators, Digital Marketing, EdTech, Education, Tutoring",101-250,"$196,656,376",4,"4 (Reliance Industries, Kalaari Capital, InnoVen Capital, Lightbox)",https://embibe.com
168, Awign Enterprises,Karnataka,Bengaluru,2016,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Business Development, E-Commerce, EdTech, Hospitality, Information Technology, Last Mile Transportation, Marketing, Outsourcing",251-500,"$5,463,025",5,"11 (BlackSoil, Unitus Ventures, Lumis Partners, Michael & Susan Dell Foundation, Eagle10 Ventures)",https://www.awign.com
169, ixigo,Haryana,Gurgaon,2006,"Aloke Bajpai, Dharmendra Yashovardhan, Rajnish Kumar","Mobile, Mobile Apps, Tourism, Travel",101-250,"$35,500,000",5,"6 (Sequoia Capital India, MakeMyTrip.com, SAIF Partners, Fosun RZ Capital, Micromax Informatics)",https://www.ixigo.com
170, Shuttl,Haryana,Gurgaon,2015,"Amit Singh, Deepanshu Malviya","Apps, Mobile, Software, Transportation",251-500,"$122,313,023",13,"22 (Sequoia Capital India, Amazon, Lightspeed Venture Partners, Lightspeed India Partners, Amazon Alexa Fund)",https://shuttl.com
171, Chai Point,Karnataka,Bengaluru,2010,"Amuleek Singh Bijral, Gaganjot Kaur","Food and Beverage, Food Processing, Restaurants, Snack Food, Tea",1001-5000,"$46,221,395",9,"6 (InnoVen Capital, DSG Consumer Partners, Eight Roads Ventures, Saama Capital, Paragon Partners, India)",https://chaipoint.com/
172, Avail Finance,Karnataka,Bengaluru,2017,"Ankush Aggarwal, Tushar Mehndiratta","Finance, FinTech, Mobile Payments",51-100,"$41,443,027",5,"8 (Kunal Shah, Falcon Edge Capital, Alteria Capital, Matrix Partners India, Binny Bansal)",https://www.availfinance.in/
173, Flock,Maharashtra,Mumbai,2014,Bhavin Turakhia,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",101-250,"$45,000,000",3,"2 (Plug and Play Tech Center, Bhavin Turakhia)",https://www.flock.com
174, GlowRoad,Karnataka,Bengaluru,2017,"Kunal Sinha, Nilesh Padariya, Nitesh Pant, Shekhar Sahu, Sonal Verma","E-Commerce, Retail, Social Shopping",51-100,"$31,300,000",4,"7 (Accel, Vertex Ventures, Korea Investment Partners, CDH Investments, Vertex Ventures Southeast Asia & India)",https://glowroad.com/
175, HomeLane,Karnataka,Bengaluru,2014,"Rama Harinath, Srikanth Iyer, Tanuj Choudhry, Vivek Parasuram","Home Decor, Home Improvement, Interior Design, Internet",501-1000,"$63,359,735",9,"12 (Sequoia Capital India, Sequoia Capital, FJ Labs, Accel, Stride Ventures)",https://www.homelane.com
176, Wow! Momo,West Bengal,Kolkata,2008,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Food and Beverage, Food Delivery, Food Processing",251-500,"$37,996,690",5,"6 (Tiger Global Management, Indian Angel Network, Lighthouse Funds, Anicut Capital, Nitin Singhal)",https://wowmomofoodsbd.com/
177, LetsTransport,Karnataka,Bengaluru,2015,"Ankit Parasher, Pushkar Singh, Sudarshan Ravi","Logistics, Transportation, Travel",11-50,"$24,628,092",8,"12 (BlackSoil, InnoVen Capital, Stride Ventures, Rebright Partners, GMO VenturePartners)",https://letstransport.in/
178, Digital Class E-Learning Marketplace,Gujarat,Ahmedabad,2017,"Hitesh Mohkar, Tushar Dhakate","B2B, B2C, E-Learning, EdTech, Marketplace",11-50,"â¹3,500,000",1,,https://digitalclassworld.com/
179, RentoMojo,Karnataka,Bengaluru,2014,"Achal Mittal, Ajay Nain, Geetansh Bamania","E-Commerce, Furniture, Internet, Rental",501-1000,"$51,443,326",14,"19 (Venture Catalysts, Bain Capital Ventures, IDG Capital, Accel, InnoVen Capital)",https://www.rentomojo.com/
180, SBI Life,Maharashtra,Mumbai,2001,,"Financial Services, Health Care, Insurance",10001+,"$742,000,000",1,"2 (GIC, The Carlyle Group)",https://www.sbilife.co.in/
181, Zivame.com,Karnataka,Bengaluru,2011,"Kapil Karekar, Richa Kar","E-Commerce, Fashion, Internet, Lingerie",251-500,"$69,002,120",8,"11 (Kalaari Capital, Trifecta Capital Advisors, Chiratae Ventures, Chiratae Ventures, Avendus Capital)",https://www.zivame.com/
182, VerSe Innovation,Karnataka,Bengaluru,2007,"Umang Bedi, Virendra Gupta","Content, Internet, Social Media",501-1000,"$434,009,213",20,"22 (Goldman Sachs, Google, Sequoia Capital India, Microsoft, ByteDance)",https://www.verse.in
183, CoinDCX,Maharashtra,Mumbai,2017,"Neeraj Khandelwal, Sumit Gupta","Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform",11-50,"$5,500,000",3,"10 (Polychain, Bain Capital Ventures, Coinbase Ventures, Utsav Somani, Sanjay Mehta)",https://coindcx.com/
184, Country Delight,Haryana,Sohna,2015,"Chakradhar Gade, Nitin Kaushal","Agriculture, Delivery Service, Food and Beverage, Food Delivery",501-1000,"$44,247,827",9,"6 (SAIF Partners, Alteria Capital, Matrix Partners India, Orios Venture Partners, Brand Capital)",https://countrydelight.in/
185, BankBazaar.com,Tamil Nadu,Chennai,2008,"Adhil Shetty, Arjun Shetty, Rati Shetty","E-Commerce, Finance, FinTech, Insurance, Marketplace",1001-5000,"$115,000,000",6,"16 (Sequoia Capital India, Amazon, Experian, Eight Roads Ventures, Mousse Partners)",https://www.bankbazaar.com
186, Happay,Karnataka,Whitefield,2012,"Anshul Rai, Varun Rathi","Financial Services, FinTech, SaaS, Software",251-500,"$21,556,985",7,"8 (Sequoia Capital, Greyhound Capital, AME Cloud Ventures, Prime Venture Partners, Brad Garlinghouse)",https://www.happay.in/
187, Five Star Business Finance,Tamil Nadu,Kilpauk,1984,V K Ranganathan,"Banking, Finance, Financial Services, Personal Finance",1001-5000,"$456,059,601",7,"8 (Sequoia Capital India, Norwest Venture Partners, Morgan Stanley, Kohlberg Kravis Roberts, Matrix Partners India)",https://www.fivestargroup.in/
188, Goodera,Karnataka,Bengaluru,2014,"Abhishek Humbad, Richa Bajpai","Computer, Events, Software, Sustainability",101-250,"$17,612,830",3,"6 (Nexus Venture Partners, SAIF Partners, Mumbai Angels, Omidyar Network, Kishore Ganji)",https://goodera.com/
189, Simpl,Karnataka,Bengaluru,2015,"Chaitra Chidanand, Nityanand Sharma","E-Commerce, Financial Services, Lending, Payments",101-250,"$26,700,000",3,"5 (FJ Labs, IA Ventures, Green Visor Capital, Recruit Strategic Partners, DIA Investments)",https://getsimpl.com/
190, F Refreshement,Delhi,New Delhi,2018,"Lalit Aggarwal, Raghav Arora",Food and Beverage,51-100,"$621,291",2,"6 (Venture Catalysts, AngelList, Huddle, Rohit Chanana, Mohit Saytanand)",http://www.f5refreshment.com/
191, ShopClues,Haryana,Gurgaon,2011,"Radhika Aggarwal, Sandeep Aggarwal, Sanjay Sethi","E-Commerce, Internet, Marketplace, Shopping",1001-5000,"$257,002,291",11,"12 (GIC, Tiger Global Management, Nexus Venture Partners, InnoVen Capital, Matrix Partners India)",https://www.shopclues.com
